Dataset_sequence_ID,Suborders,Families,Species.name,Genus,Species,Forest,Savanna,Dessert,Urban,Cave,Wetlands,Habitat.source,Population.status,Conservation.status,Extinction.risk,Geopolotical.endemism,Biogeographic.breadth,Feeding groups,Trophic level,Feeding.group.source,Island.endemism,Current.range,Natural.range,Geographical.range.source,Body.mass,Body.mass.source,Generation.length,Generation.lenght.source,Mining & quarrying,Sacred activities,Tourism and caving activities,Guano extraction,Vandalism,Nest harvesting,Bushmeat hunting & medicine,Intensional killings/Misguided killings,Gating,Scientific research,Agriculture,Urbanisation,Deforestation,Pollution,Road Kills,Diseases and parasitism,"Invasive species, predation",Fire,Drought,Heatwaves,Extreme cold,Storm,Threat.source
Dataset_1_001,Yinpterochiroptera,Pteropodidae,Aethalops aequalis,Aethalops,aequalis,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Unknown,Least Concern,Non threatened,Non endemic,Indomalayan,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Islandic,29,29,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",11.6,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1553.790873,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_002,Yangochiroptera,Furipteridae,Amorphochilus schnablii,Amorphochilus,schnablii,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Vulnerable,Threatened,Non endemic,Neotropic,Insectivore,Carnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,63,63,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",3.3,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2070.531028,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_003,Yangochiroptera,Phyllostomidae,Anoura caudifer,Anoura,caudifer,1,1,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Unknown,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,775,775,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",10.1,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_004,Yangochiroptera,Phyllostomidae,Anoura cultrata,Anoura,cultrata,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Decreasing,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,163,163,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",16.9,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_005,Yangochiroptera,Phyllostomidae,Anoura fistulata,Anoura,fistulata,1,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Unknown,Data Deficient,Data Deficient,Endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,13,13,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",13,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_006,Yangochiroptera,Phyllostomidae,Anoura geoffroyi,Anoura,geoffroyi,1,1,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Frugivore,Herbivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,1105,1105,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",14.6,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_007,Yangochiroptera,Phyllostomidae,Anoura latidens,Anoura,latidens,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,153,153,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",14.7,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_008,Yangochiroptera,Phyllostomidae,Anoura luismanueli,Anoura,luismanueli,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,25,25,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",8.5,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_009,Yangochiroptera,Phyllostomidae,Anoura peruana,Anoura,peruana,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Neotropic,Omnivore,Omnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,1105,1105,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",14.6,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",2064.27635,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
Dataset_1_010,Yangochiroptera,Vespertilionidae,Antrozous pallidus,Antrozous,pallidus,1,0,0,0,1,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>,Stable,Least Concern,Non threatened,Non endemic,Nearctic,Insectivore,Carnivore,"Wilman, H., Belmaker, J., Simpson, J., de la Rosa, C., Rivadeneira, M. M., & Jetz, W. (2014). EltonTraits 1.0: Species_level foraging attributes of the world's birds and mammals: Ecological Archives E095_178. Ecology, 95(7), 2027-2027.",Non-islandic,572,572,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",20.8,"Faurby, S., Davis, M., Pedersen, R. Ø., Schowanek, S. D., Antonelli, A., & Svenning, J. C. (2018). PHYLACINE 1.2: the phylogenetic atlas of mammal macroecology. Ecology, 99(11), 2626.",1524.0575,"Pacifici, M., Santini, L., Di Marco, M., Baisero, D., Francucci, L., Marasini, G. G., ... & Rondinini, C. (2013). Generation length for mammals. Nature Conservation, 5, 89.",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,IUCN Red List 2020-1 <https://www.iucnredlist.org/>
