Dataset_sequence_ID,Data.entry,Cave.data.series,Biogeographical.realm,Continent,Biome classification,Country.record,Cave.site,Lattitude,Longitude,Species.name,Record.source,URL
Dataset_2_001,BC 002,S 001,Afrotropical,Africa,TSGS,South Africa,Umkomaas,-30.21667,30.86667,Otomops martiensseni,"Fenton, M. B., Taylor, P. J., Jacobs, D. S., Richardson, E. J., Bernard, E., Bouchard, S., ... & Lister, J. S. (2002). Researching little-known species: the African bat Otomops martiensseni (Chiroptera: Molossidae). Biodiversity & Conservation, 11(9), 15",https://link.springer.com/article/10.1023/A:1016807606593
Dataset_2_002,BC 003,S 001,Afrotropical,Africa,TSMB,South Africa,Tongaat,-29.55556,31.13333,Otomops martiensseni,"Fenton, M. B., Taylor, P. J., Jacobs, D. S., Richardson, E. J., Bernard, E., Bouchard, S., ... & Lister, J. S. (2002). Researching little-known species: the African bat Otomops martiensseni (Chiroptera: Molossidae). Biodiversity & Conservation, 11(9), 15",https://link.springer.com/article/10.1023/A:1016807606593
Dataset_2_003,BC 004,S 001,Afrotropical,Africa,TSMB,South Africa,Ballito,-29.53333,31.21667,Otomops martiensseni,"Fenton, M. B., Taylor, P. J., Jacobs, D. S., Richardson, E. J., Bernard, E., Bouchard, S., ... & Lister, J. S. (2002). Researching little-known species: the African bat Otomops martiensseni (Chiroptera: Molossidae). Biodiversity & Conservation, 11(9), 15",https://link.springer.com/article/10.1023/A:1016807606593
Dataset_2_004,BC 005,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Miniopterus gleni,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_14
Dataset_2_005,BC 006,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Myotis goudoti,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_15
Dataset_2_006,BC 007,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Emballonura sp.,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_16
Dataset_2_007,BC 008,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Otomops madagascariensis,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_17
Dataset_2_008,BC 009,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Triaenops rufus,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_18
Dataset_2_009,BC 010,S 002,Afrotropical,Africa,TSDB,Madagascar,PNTB,-19.11667,44.93333,Rousettus madagascariensis,"Kofoky, A., Andriafidison, D., Ratrimomanarivo, F., Razafimanahaka, H. J., Rakotondravony, D., Racey, P. A., & Jenkins, R. K. (2007). Habitat use, roost selection and conservation of bats in Tsingy de Bemaraha National Park, Madagascar. Biodiversity and",https://link.springer.com/chapter/10.1007/978-1-4020-6320-6_19
Dataset_2_010,BC 011,S 003,Afrotropical,Africa,TSDB,Madagascar,Anjohikinakina cave,-19.00983,44.76767,Otomops madagascariensis,"Andriafidison, D., Kofoky, A., Mbohoahy, T., Racey, P. A., & Jenkins, R. K. (2007). Diet, reproduction and roosting habits of the Madagascar free-tailed bat, Otomops madagascariensis Dorst, 1953 (Chiroptera: Molossidae). Acta chiropterologica, 9(2), 445-450.",https://www.ingentaconnect.com/content/miiz/actac/2007/00000009/00000002/art00011
Dataset_2_011,BC 012,S 003,Afrotropical,Africa,DES,Madagascar,Namaza canyon,-22.54,45.38,Otomops madagascariensis,"Andriafidison, D., Kofoky, A., Mbohoahy, T., Racey, P. A., & Jenkins, R. K. (2007). Diet, reproduction and roosting habits of the Madagascar free-tailed bat, Otomops madagascariensis Dorst, 1953 (Chiroptera: Molossidae). Acta chiropterologica, 9(2), 445-450.",https://www.ingentaconnect.com/content/miiz/actac/2007/00000009/00000002/art00012
Dataset_2_012,BC 013,S 004,Afrotropical,Africa,MAN,Kenya,Watamu,-3.35122,40.01528,Rousettus aegyptiacus,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_013,BC 014,S 004,Afrotropical,Africa,MAN,Kenya,Pangayambo,-3.32241,40.02377,Cardioderma cor,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_014,BC 015,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Coleura afra,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_015,BC 016,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Macronycteris vittatus,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_016,BC 017,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Triaenops afer,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_017,BC 018,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Miniopterus africanus,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_018,BC 019,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Miniopterus minor,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_019,BC 020,S 004,Afrotropical,Africa,MAN,Kenya,Kaboga,-3.33451,40.03076,Taphozous hildegardeae,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_020,BC 021,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Coleura afra,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_021,BC 022,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Hipposideros caffer,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_022,BC 023,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Triaenops afer,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_023,BC 024,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Miniopterus africanus,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_024,BC 025,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Miniopterus minor,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_025,BC 026,S 004,Afrotropical,Africa,MAN,Kenya,Makuruhu,-3.32319,40.04153,Taphozous hildegardeae,"Makori, B. (2015). Survey and Conservation of Cave-Dwelling Bats in Coastal Kenya. Karatina University Institutional Repository.",https://karuspace.karu.ac.ke/handle/20.500.12092/1740
Dataset_2_026,BC 027,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Nam 2,18.03333,104.4,Hipposideros armiger,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_027,BC 028,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Der Som,18.03333,104.4,Aselliscus stoliczkanus,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
Dataset_2_028,BC 029,S 005,Indomalayan,Asia,TSMB,Laos DPR,Tam Der Som,18.03333,104.4,Hipposideros armiger,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45.",http://www.siamese-heritage.org/nhbsspdf/vol041-050/NHBSS_048_1i_Robinson_SurveyOfBatsMamm.pdf
