Dataset_sequence_ID,Data_Entry,Cave_Datas,Biogeographical.realm,Region,Country,Cave_Name,Latitude,Longitude,Canopy.cov,Tree.dens,Freshwater.dist,Bareground.change,Shortveg.change,Talltree.change,Urban.dist,Road.dist,Mine.dens,Nighlight,Pesticide.exp,Pop.dens
Dataset_3_001,BC 003,S 001,Afrotropical,Africa,South Africa,Tongaat,-29.55556,31.13333,0,37391.6,4,0,0,0,0,0,0,641,0,1112.41
Dataset_3_002,BC 011,S 002,Afrotropical,Africa,Madagascar,Anjohikinakina cave,-19.00983,44.76767,0,49033.4,21.9706,0,7,-7,80799,2000,0,58,0,19.115
Dataset_3_003,BC 012,S 003,Afrotropical,Africa,Madagascar,Namaza canyon,-22.54,45.38,0,0,23.4853,0,0,0,118794,1000,0,65,0,14.8213
Dataset_3_004,BC 013,S 004,Afrotropical,Africa,Kenya,Watamu,-3.35122,40.01528,0,0,18.0711,0,0,0,0,0,0,629,0,3735.48
Dataset_3_005,BC 044,S 005,Indomalayan,Asia,Laos DPR,Tam Kokhair,18.07361,104.47778,0,0,1.41421,0,8,-8,7000,0,0,49,0,10.5304
Dataset_3_006,BC 054,S 005,Indomalayan,Asia,Laos DPR,Tam Pha Muang,18.00833,104.68056,0,0,1.41421,-3,-11,15,15414.2,6242.64,49.7359,41,0,24.8893
Dataset_3_007,BC 057,S 005,Indomalayan,Asia,Laos DPR,Tam Lort,17.5875,104.8125,26,0,1.41421,0,0,0,8656.85,0,0,43,0,6.91305
Dataset_3_008,BC 058,S 005,Indomalayan,Asia,Laos DPR,Tam Lom,17.5875,104.8125,26,0,1.41421,0,0,0,8656.85,0,0,43,0,6.91305
Dataset_3_009,BC 059,S 005,Indomalayan,Asia,Laos DPR,Tam Jingjunchott,17.55417,104.81944,0,0,1.41421,0,0,0,5656.85,0,0,46,0,95.4044
Dataset_3_010,BC 063,S 005,Indomalayan,Asia,Laos DPR,Tom Quaie,17.55417,104.825,0,0,1.41421,0,0,0,6656.85,0,0,56,0,54.1493
