species,longitude,latitude,year,source
Desmodus rotundus,-55.708861,-12.168833,2016,portalbio
Desmodus rotundus,-55.568625,-11.594861,2015,portalbio
Desmodus rotundus,-36.943333,-6.222778,2016,portalbio
Desmodus rotundus,-61.805583,1.713611,2016,portalbio
Desmodus rotundus,-61.9,1.6,2016,portalbio
Desmodus rotundus,-51.595556,-25.906389,2016,portalbio
Desmodus rotundus,-37.652222,-5.572778,2017,portalbio
Desmodus rotundus,-37.663889,-5.560556,2017,portalbio
Desmodus rotundus,-37.686944,-5.593056,2017,portalbio
Desmodus rotundus,-36.011944,-5.595833,2017,portalbio
Desmodus rotundus,-36.136389,-5.410556,2017,portalbio
Desmodus rotundus,-36.143056,-5.330278,2017,portalbio
Desmodus rotundus,-36.051667,-5.3575,2017,portalbio
Desmodus rotundus,-37.896389,-6.05,2016,portalbio
Desmodus rotundus,-37.901667,-6.050278,2016,portalbio
Desmodus rotundus,-43.350278,-21.764167,2016,portalbio
Desmodus rotundus,-39.438056,-12.964444,2016,portalbio
Desmodus rotundus,-39.438056,-12.964444,2016,portalbio
Desmodus rotundus,-39.395278,-12.969444,2017,portalbio
Desmodus rotundus,-39.395278,-12.969444,2017,portalbio
Desmodus rotundus,-43.382448,-4.046968,2014,portalbio
Desmodus rotundus,-43.382448,-4.046968,2014,portalbio
Desmodus rotundus,-43.693246,-4.679701,2014,portalbio
Desmodus rotundus,-42.42085,-3.150128,2014,portalbio
Desmodus rotundus,-43.144324,-3.001721,2014,portalbio
Desmodus rotundus,-43.839702,-3.534447,2014,portalbio
Desmodus rotundus,-44.180556,-23.166106,2016,portalbio
Desmodus rotundus,-43.406111,-22.940556,2013,portalbio
Desmodus rotundus,-43.406111,-22.940556,2013,portalbio
Desmodus rotundus,-43.406111,-22.940556,2013,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2014,portalbio
Desmodus rotundus,-43.406111,-22.940556,2015,portalbio
Desmodus rotundus,-43.406111,-22.940556,2015,portalbio
Desmodus rotundus,-43.406111,-22.940556,2016,portalbio
Desmodus rotundus,-66.211639,-2.001667,2015,portalbio
Desmodus rotundus,-41.135281,-17.2741,2010,portalbio
Desmodus rotundus,-43.897611,-21.713389,2012,portalbio
Desmodus rotundus,-48.232619,-18.786875,2008,portalbio
Desmodus rotundus,-47.995042,-19.678956,2008,portalbio
Desmodus rotundus,-61.97075,-10.910581,2007,portalbio
Desmodus rotundus,-46.348611,-23.349167,2009,portalbio
Desmodus rotundus,-46.311667,-23.262222,2009,portalbio
Desmodus rotundus,-43.897611,-21.713389,2011,portalbio
Desmodus rotundus,-48.232617,-18.786875,2008,portalbio
Desmodus rotundus,-47.995042,-19.678956,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-62.663333,-1.113611,2008,portalbio
Desmodus rotundus,-48.990833,-25.515556,2011,portalbio
Desmodus rotundus,-48.990833,-25.515556,2011,portalbio
Desmodus rotundus,-62.28,-4.253611,2008,portalbio
Desmodus rotundus,-62.28,-4.253611,2008,portalbio
Desmodus rotundus,-62.28,-4.253611,2008,portalbio
Desmodus rotundus,-46.7625,-3.703333,2010,portalbio
Desmodus rotundus,-40.076111,-19.437222,2010,portalbio
Desmodus rotundus,-40.146667,-18.3425,2012,portalbio
Desmodus rotundus,-43.281111,-21.745833,2008,portalbio
Desmodus rotundus,-43.888889,-21.999167,2008,portalbio
Desmodus rotundus,-52.246556,-15.838861,2012,portalbio
Desmodus rotundus,-52.357333,-14.700972,2012,portalbio
Desmodus rotundus,-52.35,-14.705694,2012,portalbio
Desmodus rotundus,-35.143056,-8.565,2008,portalbio
Desmodus rotundus,-42.145753,-18.308239,2009,portalbio
Desmodus rotundus,-46.774306,-1.065089,2008,portalbio
Desmodus rotundus,-57.866667,-2.566667,2011,portalbio
Desmodus rotundus,-57.866667,-2.566667,2011,portalbio
Desmodus rotundus,-57.866667,-2.566667,2011,portalbio
Desmodus rotundus,-48.345333,-14.130944,2011,portalbio
Desmodus rotundus,-48.908611,-14.976667,2011,portalbio
Desmodus rotundus,-52.927778000000004,-18.106389,2011,portalbio
Desmodus rotundus,-45.623333,-22.805833,2016,portalbio
Desmodus rotundus,-45.221111,-22.599722,2017,portalbio
Desmodus rotundus,-48.190556,-21.651389000000002,2011,portalbio
Desmodus rotundus,-47.6,-15.586108,2009,portalbio
Desmodus rotundus,-47.866667,-15.533331,2005,portalbio
Desmodus rotundus,-47.736667,-15.516667,2009,portalbio
Desmodus rotundus,-47.866389,-15.546111,2009,portalbio
Desmodus rotundus,-47.866389,-15.546111,2009,portalbio
Desmodus rotundus,-47.866389,-15.546111,2009,portalbio
Desmodus rotundus,-48.124444,-15.520556,2009,portalbio
Desmodus rotundus,-48.124444,-15.520556,2009,portalbio
Desmodus rotundus,-47.787778,-15.506944,2009,portalbio
Desmodus rotundus,-47.787778,-15.506944,2009,portalbio
Desmodus rotundus,-47.787778,-15.506944,2009,portalbio
Desmodus rotundus,-48.167222,-15.511389,2009,portalbio
Desmodus rotundus,-48.167222,-15.511389,2009,portalbio
Desmodus rotundus,-47.736667,-15.516667,2009,portalbio
Desmodus rotundus,-48.167222,-15.511389,2009,portalbio
Desmodus rotundus,-37.001944,-9.794167,2011,portalbio
Desmodus rotundus,-46.7625,-3.703056,2012,portalbio
Desmodus rotundus,-46.7625,-3.703056,2012,portalbio
Desmodus rotundus,-34.920831,-7.920831,2009,portalbio
Desmodus rotundus,-34.920831,-7.920831,2009,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
Desmodus rotundus,-51.94891,-0.82675,2013,portalbio
