"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_cientifico","Autor","Latitude","Longitude","Datum","Formato_original","Precisao_da_coordenada","Referencia_aproximacao","Metodologia_aproximacao","Descricao_do_metodo_aproximacao","Taxon_citado","Presenca_atual","Tipo_registro","Dia","Mes","Ano","Hora","Dia_fim","Mes_fim","Ano_fim","Endemica_Brasil","Data_e_Ano_desconhecidos","Localidade","Caracteristica_da_localidade","UC_Federais","UC_Nao_Federais","RPPN","Pais","Estado","Municipio","Ambiente","Habitat","Elevacao_minima","Elevacao_maxima","Profundidade_minima","Profundidade_maxima","Identificador","Data_identificacao","Identificacao_incerta","Tombamento","Instituicao_tombamento","Compilador","Data_compilacao","Revisor","Data_revisao","Validador","data_validacao","Autor_registro","Referencia_bibliografica","Base_dados","Id_Origem","Observacao"
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","19.523611","-103.441389","Nao informado","Graus decimais","Desconhecida","","","","","","","30","3","1988","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","20.216802","-102.413265","Nao informado","Graus decimais","Desconhecida","","","","","","","16","7","1960","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","21.279833","-99.508333","Nao informado","Graus decimais","Desconhecida","","","","","","","3","7","1983","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.581389","-92.918889","Nao informado","Graus decimais","Desconhecida","","","","","","","23","10","1977","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.426111","-95.1125","Nao informado","Graus decimais","Desconhecida","","","","","","","6","1","1977","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","10.28","-67.6","Nao informado","Graus decimais","Desconhecida","","","","","","","29","3","1960","","","","","Nao","","","","","","","Venezuela","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","16.134444","-91.726944","Nao informado","Graus decimais","Desconhecida","","","","","","","4","10","2001","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","19.508783","-103.711109","Nao informado","Graus decimais","Desconhecida","","","","","","","17","2","2018","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","24.4115349612535","-106.636478018693","Nao informado","Graus decimais","Desconhecida","","","","","","","6","6","1962","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","22","-98.733333","Nao informado","Graus decimais","Desconhecida","","","","","","","14","4","1972","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","17.360556","-99.456944","Nao informado","Graus decimais","Desconhecida","","","","","","","23","5","1965","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","18.325556","-99.823889","Nao informado","Graus decimais","Desconhecida","","","","","","","16","4","1965","","","","","Nao","","","","","","","","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","9.85","-69.72","Nao informado","Graus decimais","Desconhecida","","","","","","","22","7","1968","","","","","Nao","","","","","","","Venezuela","","","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","GBIF, 2018. Desmodus rotundus (E.Geoffroy, 1810). GBIF Secretariat (2017), Disponivel em: https://www.gbif.org/species/2433298. Acessado em: 17/09/2018.","SALVE","",""
"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus","(E. Geoffroy, 1810)","-20.8081","-49.3811","Nao informado","Graus decimais","Desconhecida","","","","","","","","","1900","","","","","Nao","","","","","","","Brasil","Sao Paulo","Sao Jose do Rio Preto","","","","","","","","","","","","","","","","","","(E. Geoffroy, 1810)","SpeciesLink, 2014. Desmodus rotundus. SpeciesLink.org, Disponivel em: http://www.splink.org.br/. Acessado em: 16/09/2014.","SALVE","",""
