id,license,rightsHolder,institutionID,collectionID,institutionCode,collectionCode,datasetName,basisOfRecord,occurrenceID,catalogNumber,individualCount,sex,occurrenceStatus,eventDate,year,month,day,country,stateProvince,county,locality,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName
fe44d950-2662-408f-bc33-468a39910d6f,CC-BY,NA,in36,co122,MZUSP,mastozoologiaMZUSP,NA,Occurrence,fe44d950-2662-408f-bc33-468a39910d6f,11557,NA,NA,present,1978-03-19,1978,3,NA,Brasil,NA,Iporanga,Gruta do Betari,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
fdab17b2-5c33-4a46-aa9b-0c5c56bf66e4,CC-BY-NC,NA,in6,co113,MPEG,MAM,NA,Occurrence,fdab17b2-5c33-4a46-aa9b-0c5c56bf66e4,MPEG.MAM 006401,NA,NA,present,1971-03-27,1971,3,NA,Brasil,NA,Cachoeira do Arari,NA,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
fd1de418-b531-46ed-8da4-d4dfb229e0ba,CC-BY,NA,in36,co122,MZUSP,mastozoologiaMZUSP,NA,Occurrence,fd1de418-b531-46ed-8da4-d4dfb229e0ba,12820,NA,NA,present,1979-03-04,1979,3,NA,Brasil,NA,Adrianópolis,"Gruta São João, região de São João",NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
ffc22fe7-25e8-40ac-9414-3010cafeae40,CC-BY-NC 4.0 (Int),Universidade Federal de Espírito Santo,in97,co387,UFES,UFES-MAM,Coleção de Mamíferos da UFES,Occurrence,ffc22fe7-25e8-40ac-9414-3010cafeae40,UFES-MAM_3984,NA,M,present,2005-10-03,2005,10,3,Brasil,Espírito Santo,Anchieta,"Área da Samarco Mineradora, Monte Urubu",NA,NA,NA,-20.744444,-40.628333,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
fc79a352-7e55-45bb-9e0f-f6f8617f057e,CC-BY-NC,NA,NA,NA,ICMBio,NA,Sistema de Autorização e Informação em Biodiversidade (SISBIO-DIBIO),Occurrence,fc79a352-7e55-45bb-9e0f-f6f8617f057e,NA,3,NA,present,2014-03-31,2014,3,NA,Brasil,Maranhão,NA,Bom Jesus,NA,NA,NA,-3.150128,-42.42085,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
fc453898-4bdd-442f-ad1f-f56ce88dd38d,CC-BY,NA,in36,co122,MZUSP,mastozoologiaMZUSP,NA,Occurrence,fc453898-4bdd-442f-ad1f-f56ce88dd38d,11553,NA,NA,present,1978-03-19,1978,3,NA,Brasil,NA,Iporanga,Gruta do Betari,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
ff8c7ad8-017e-4c58-bc58-fc778bde4313,CC-BY-NC,NA,in6,co113,MPEG,MAM,NA,Occurrence,ff8c7ad8-017e-4c58-bc58-fc778bde4313,MPEG.MAM 017023,NA,NA,present,1984-11-14,1984,11,NA,Brasil,NA,Ouro Preto D'Oeste,NA,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
fc0ac537-02d8-433c-9aed-9518d7aefdd4,CC-BY,NA,in36,co122,MZUSP,mastozoologiaMZUSP,NA,Occurrence,fc0ac537-02d8-433c-9aed-9518d7aefdd4,25377,NA,NA,present,1979-03-26,1979,3,NA,Brasil,NA,Iporanga,Gruta do Couto,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
ff5e5ca4-c862-47f7-9747-6d84763b5e79,CC-BY-NC,NA,in6,co113,MPEG,MAM,NA,Occurrence,ff5e5ca4-c862-47f7-9747-6d84763b5e79,MPEG.MAM 026975,NA,NA,present,1994-12-01,1994,12,NA,Brasil,NA,Belém,NA,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
ff63ba29-43ce-4cd0-93da-e8352a8c8fba,CC-BY,NA,in36,co122,MZUSP,mastozoologiaMZUSP,NA,Occurrence,ff63ba29-43ce-4cd0-93da-e8352a8c8fba,15122,NA,NA,present,1963-11-30,1963,11,NA,Brasil,NA,Ribeirão Preto,Ribeirão Preto,NA,NA,NA,NA,NA,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,species,NA
