id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,spatial_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary,lon,lat,bias_filter
1,Desmodus rotundus,-67.2166666666667,6.58333333333333,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-67.2166666666667,6.58333333333333,TRUE
2,Desmodus rotundus,-66.1,5.35,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-66.1,5.35,TRUE
3,Desmodus rotundus,-65.9458333333333,3.51333333333333,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.9458333333333,3.51333333333333,TRUE
4,Desmodus rotundus,-67.795,5.24388888888889,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-67.795,5.24388888888889,TRUE
5,Desmodus rotundus,-67.1333333333333,7.7,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-67.1333333333333,7.7,TRUE
6,Desmodus rotundus,-65.8333333333333,3.15,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.8333333333333,3.15,TRUE
7,Desmodus rotundus,-67.2,6.58333333333333,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-67.2,6.58333333333333,TRUE
8,Desmodus rotundus,-42.9466602484,-22.2367649741,1993,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.9466602484,-22.2367649741,TRUE
9,Desmodus rotundus,-52.493611,-14.638417,2008,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-52.493611,-14.638417,TRUE
10,Desmodus rotundus,-54.759722222222,-18.506944444444,1975,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-54.759722222222,-18.506944444444,TRUE
11,Desmodus rotundus,-47.56,-22.41,1978,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.56,-22.41,TRUE
12,Desmodus rotundus,-44.313611111111,-19.762777777778,1981,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-44.313611111111,-19.762777777778,TRUE
13,Desmodus rotundus,-42.699166666667,-9.0155555555556,1986,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.699166666667,-9.0155555555556,TRUE
14,Desmodus rotundus,-73.6891666666667,-7.455,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.6891666666667,-7.455,TRUE
15,Desmodus rotundus,-73.7744444444444,-7.45888888888889,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.7744444444444,-7.45888888888889,TRUE
16,Desmodus rotundus,-73.6380555555556,-7.45638888888889,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.6380555555556,-7.45638888888889,TRUE
17,Desmodus rotundus,-51.0481,-23.2692,1992,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-51.0481,-23.2692,TRUE
18,Desmodus rotundus,-44.0918998718262,-15.1021995544434,2005,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-44.0918998718262,-15.1021995544434,TRUE
19,Desmodus rotundus,-41.172139,-20.484306,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-41.172139,-20.484306,TRUE
