species,longitude,latitude,year,source
desmodus_rotundus,-47.92796182,-25.08685287,2008,atlantic_bats
desmodus_rotundus,-49.08,-27.06,2007,atlantic_bats
desmodus_rotundus,-35.184929,-6.086251,2011,atlantic_bats
desmodus_rotundus,-51.9583757,-23.90972073,2004,atlantic_bats
desmodus_rotundus,-49.30105648,-20.7022129,2008,atlantic_bats
desmodus_rotundus,-52.22028554,-23.54428929,2010,atlantic_bats
desmodus_rotundus,-56.7164496,-21.18916715,2009,atlantic_bats
desmodus_rotundus,-48.39966688,-22.80323607,2008,atlantic_bats
desmodus_rotundus,-43.38,-22.57,2008,atlantic_bats
desmodus_rotundus,-43.4583,-22.967,2002,atlantic_bats
desmodus_rotundus,-51.25,-23.45,2003,atlantic_bats
desmodus_rotundus,-50.55,-24.2,2006,atlantic_bats
desmodus_rotundus,-43.48601593,-20.06519766,2003,atlantic_bats
desmodus_rotundus,-39.13655399,-14.99654532,1997,atlantic_bats
desmodus_rotundus,-50.94420538,-23.00194615,2010,atlantic_bats
desmodus_rotundus,-43.98055869,-23.05914509,2010,atlantic_bats
desmodus_rotundus,-41.81756732,-19.73626113,1994,atlantic_bats
desmodus_rotundus,-48.29749023,-25.18509152,2011,atlantic_bats
desmodus_rotundus,-47.51944025,-20.73535918,2012,atlantic_bats
desmodus_rotundus,-47.64741523,-22.14771356,2012,atlantic_bats
desmodus_rotundus,-47.80057311,-21.60909899,2012,atlantic_bats
desmodus_rotundus,-47.873203,-21.95798247,2012,atlantic_bats
desmodus_rotundus,-35.16801564,-8.655906685,2010,atlantic_bats
desmodus_rotundus,-43.85,-21.99,2009,atlantic_bats
desmodus_rotundus,-43.90445435,-21.71337558,2009,atlantic_bats
desmodus_rotundus,-43.52162588,-22.81932512,2009,atlantic_bats
desmodus_rotundus,-40.30269883,-20.27240394,2009,atlantic_bats
desmodus_rotundus,-53.25769066,-22.76803832,2009,atlantic_bats
desmodus_rotundus,-48.4,-24.27,2003,atlantic_bats
desmodus_rotundus,-48.25423544,-18.71641828,1998,atlantic_bats
desmodus_rotundus,-49.69083655,-22.41766687,2001,atlantic_bats
desmodus_rotundus,-40.05418785,-19.15373831,1993,atlantic_bats
desmodus_rotundus,-35.867,-9,2003,atlantic_bats
desmodus_rotundus,-54.476125,-25.610591,2001,atlantic_bats
desmodus_rotundus,-56.01,-23.8,NA,atlantic_bats
desmodus_rotundus,-56.02,-22.63,2004,atlantic_bats
desmodus_rotundus,-56.6,-25.07,2004,atlantic_bats
desmodus_rotundus,-58.12,-26.63,2004,atlantic_bats
desmodus_rotundus,-47.43055556,-21.85277778,2012,atlantic_bats
desmodus_rotundus,-50.13869692,-25.07278455,2007,atlantic_bats
desmodus_rotundus,-48.400019,-24.27,1997,atlantic_bats
desmodus_rotundus,-41.830136,-19.83223,2007,atlantic_bats
desmodus_rotundus,-47.591215,-21.729754,2015,atlantic_bats
desmodus_rotundus,-47.595892,-21.720625,2016,atlantic_bats
desmodus_rotundus,-47.584854,-21.726323,2015,atlantic_bats
desmodus_rotundus,-43.284154,-22.972713,1997,atlantic_bats
desmodus_rotundus,-47.846089,-21.963656,2007,atlantic_bats
desmodus_rotundus,-44.043184,-19.904935,1998,atlantic_bats
desmodus_rotundus,-48.416097,-24.272366,2003,atlantic_bats
desmodus_rotundus,-42.63106,-19.764141,2013,atlantic_bats
desmodus_rotundus,-43.607346,-19.353555,2014,atlantic_bats
desmodus_rotundus,-42.261971,-22.583818,1997,atlantic_bats
desmodus_rotundus,-42.570575,-22.73306,1999,atlantic_bats
desmodus_rotundus,-42.894077,-22.958611,2011,atlantic_bats
desmodus_rotundus,-48.55,-25.583333,2011,atlantic_bats
desmodus_rotundus,-48.716667,-25.75,2012,atlantic_bats
desmodus_rotundus,-48.3,-25.166667,2007,atlantic_bats
desmodus_rotundus,-47.71889,-22.43583,1991,atlantic_bats
desmodus_rotundus,-49.08583,-24.97389,2007,atlantic_bats
desmodus_rotundus,-49.25528,-28.48361,2005,atlantic_bats
desmodus_rotundus,-49.25528,-28.48361,2009,atlantic_bats
desmodus_rotundus,-49.25528,-28.48361,2009,atlantic_bats
desmodus_rotundus,-42.75556,-22.43139,2011,atlantic_bats
desmodus_rotundus,-35.09222,-8.11861,2006,atlantic_bats
desmodus_rotundus,-44.74417,-22.37528,2009,atlantic_bats
desmodus_rotundus,-55.75,-27.9,2008,atlantic_bats
desmodus_rotundus,-55.447161,-24.122669,1997,atlantic_bats
desmodus_rotundus,-47.417783,-22.820551,2012,atlantic_bats
desmodus_rotundus,-47.544482,-22.396379,2012,atlantic_bats
desmodus_rotundus,-43.411873,-22.961453,NA,atlantic_bats
desmodus_rotundus,-43.42,-22.44,NA,atlantic_bats
desmodus_rotundus,-43.51,-22.53,NA,atlantic_bats
