regiao_uf,canina,felina,bovina,equina,suina_caprina_ovina_e_outros_herbivoros,quiropteros_hematofagos,quiropteros_nao_hematofagos,primata_nao_humano,canideo_silvestre,guaxinim
Acre,0,0,18,3,1,0,0,0,0,0
Alagoas,1,1,22,3,2,0,0,0,0,0
Amapá,1,0,0,0,0,0,0,0,0,0
Amazonas,0,0,10,1,0,1,1,0,0,0
Bahia,11,5,214,43,23,10,115,6,89,0
Ceará,19,7,45,4,4,23,280,53,98,3
Distrito Federal,0,0,0,4,1,0,5,0,0,0
Espírito Santo,1,4,185,62,4,11,33,1,1,0
Goiás,0,2,171,44,1,7,12,1,0,0
Maranhão,14,1,9,1,0,2,0,0,1,0
Mato Grosso,4,0,249,30,5,4,2,0,1,0
Mato Grosso do Sul,73,1,96,10,3,2,40,0,0,0
Minas Gerais,2,6,458,64,8,24,298,1,6,0
Paraná,3,1,347,17,1,4,564,0,0,0
Paraíba,3,2,3,0,0,1,14,0,0,0
Pará,1,0,187,49,3,5,11,0,0,0
Pernambuco,17,5,87,5,3,3,52,21,26,0
Piauí,5,0,3,3,0,2,2,6,2,0
Rio Grande do Norte,13,2,25,12,2,2,365,0,40,0
Rio Grande do Sul,0,4,306,8,4,0,99,0,0,0
Rio de Janeiro,2,0,104,18,3,1,52,1,0,0
Rondônia,0,0,46,6,1,0,17,0,0,0
Roraima,1,1,0,0,0,0,0,0,0,0
Santa Catarina,1,2,18,1,0,3,10,0,0,0
Sergipe,2,2,14,2,0,0,0,0,0,0
São Paulo,10,9,895,240,30,46,889,1,0,0
Tocantins,1,0,214,30,3,5,3,0,0,0
