RAIVA HUMANA - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2007-2021
"Município de notificação";"Casos_confirmados"
"130260 MANAUS";3
"140010 BOA VISTA";1
"150180 BREVES";8
"150450 MELGACO";2
"171790 PONTE ALTA DO TOCANTINS";1
"210320 CHAPADINHA";1
"210500 HUMBERTO DE CAMPOS";1
"210780 PARNARAMA";1
"211130 SAO LUIS";7
"211290 VITORIA DO MEARIM";1
"220770 PARNAIBA";1
"221100 TERESINA";1
"230190 BARBALHA";1
"230440 FORTALEZA";4
"240400 FRUTUOSO GOMES";1
"240810 NATAL";1
"250750 JOAO PESSOA";1
"261160 RECIFE";2
"292360 PARAMIRIM";1
"315210 PONTE NOVA";1
"330010 ANGRA DOS REIS";1
"410400 CAMPINA GRANDE DO SUL";1
"421870 TUBARAO";1
"500320 CORUMBA";1
"510800 TAPURAH";1
"530010 BRASILIA";1
"Total";46
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis - Correspondem aos anos de notificação dos casos.
 Dados validados pela Grupo Técnico da Raiva/CGZV/DEDT/SVSA/MS.
 Dados a partir 2020 referentes ao estado do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do
     Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
 Dados de 2007 a 2012 atualizados em 09/02/2018.
 Dados de 2013, 2014, 2016 e 2017 atualizados em 24/01/2019.
 Dados de 2015 foi revisado e atualizados em 03/10/2019.
 Dados de 2018 e 2019 atualizados em 28/01/2020.
 Dados de 2020 e 2021 atualizados em 14/07/2022.
 * Dados disponibilizados no TABNET em março de 2023.
 
