NM_MUN	NM_UF	type
Viseu	Pará	Rabies-positive and highly ranked in Naive ranking
Barcelos	Amazonas	Rabies-positive and highly ranked in Naive ranking
Itupiranga	Pará	Rabies-positive and highly ranked in Naive ranking
Alcântara	Maranhão	Rabies-positive and highly ranked in Naive ranking
Arame	Maranhão	Rabies-positive and highly ranked in Naive ranking
Humberto de Campos	Maranhão	Rabies-positive and highly ranked in Naive ranking
Jenipapo dos Vieiras	Maranhão	Rabies-positive and highly ranked in Naive ranking
Lago da Pedra	Maranhão	Rabies-positive and highly ranked in Naive ranking
Penalva	Maranhão	Rabies-positive and highly ranked in Naive ranking
Pindaré-Mirim	Maranhão	Rabies-positive and highly ranked in Naive ranking
Santa Luzia	Maranhão	Rabies-positive and highly ranked in Naive ranking
Vitorino Freire	Maranhão	Rabies-positive and highly ranked in Naive ranking
Camocim	Ceará	Rabies-positive and highly ranked in Naive ranking
Jati	Ceará	Rabies-positive and highly ranked in Naive ranking
Itabaiana	Sergipe	Rabies-positive and highly ranked in Naive ranking
Salvador	Bahia	Rabies-positive and highly ranked in Naive ranking
São Paulo	São Paulo	Rabies-positive and highly ranked in Naive ranking
Corumbá	Mato Grosso do Sul	Rabies-positive and highly ranked in Naive ranking
Brasília	Distrito Federal	Rabies-positive and highly ranked in Naive ranking
Turiaçu	Maranhão	Rabies-positive and not ranked in Naive ranking
Portel	Pará	Rabies-positive and not ranked in Naive ranking
Augusto Corrêa	Pará	Rabies-positive and not ranked in Naive ranking
Melgaço	Pará	Rabies-positive and not ranked in Naive ranking
Bertópolis	Minas Gerais	Rabies-positive and not ranked in Naive ranking
Carutapera	Maranhão	Rabies-positive and not ranked in Naive ranking
Cândido Mendes	Maranhão	Rabies-positive and not ranked in Naive ranking
Godofredo Viana	Maranhão	Rabies-positive and not ranked in Naive ranking
São José de Ribamar	Maranhão	Rabies-positive and not ranked in Naive ranking
São Luís	Maranhão	Rabies-positive and not ranked in Naive ranking
Pimenta Bueno	Rondônia	Rabies-positive and not ranked in Naive ranking
Xapuri	Acre	Rabies-positive and not ranked in Naive ranking
Boa Vista	Roraima	Rabies-positive and not ranked in Naive ranking
Floresta do Araguaia	Pará	Rabies-positive and not ranked in Naive ranking
Alvorada	Tocantins	Rabies-positive and not ranked in Naive ranking
Ponte Alta do Tocantins	Tocantins	Rabies-positive and not ranked in Naive ranking
Axixá	Maranhão	Rabies-positive and not ranked in Naive ranking
Barra do Corda	Maranhão	Rabies-positive and not ranked in Naive ranking
Chapadinha	Maranhão	Rabies-positive and not ranked in Naive ranking
Mirinzal	Maranhão	Rabies-positive and not ranked in Naive ranking
Paço do Lumiar	Maranhão	Rabies-positive and not ranked in Naive ranking
Presidente Juscelino	Maranhão	Rabies-positive and not ranked in Naive ranking
Timbiras	Maranhão	Rabies-positive and not ranked in Naive ranking
Parnaíba	Piauí	Rabies-positive and not ranked in Naive ranking
Pio IX	Piauí	Rabies-positive and not ranked in Naive ranking
