id,species,longitude,latitude,year,source,date_filter,precision_filter,precision_filter_date,neo_filter,.val,.equ,.zer,.dpl,.summary,lon,lat,bias_filter,sptdist_filter
16,desmodus_rotundus,-49.1178016662598,-5.36860990524292,2012,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-49.1178016662598,-5.36860990524292,TRUE,TRUE
18,desmodus_rotundus,-50.1619,-25.095,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-50.1619,-25.095,TRUE,TRUE
20,desmodus_rotundus,-69.07482,-2.5785,1983,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.07482,-2.5785,TRUE,TRUE
22,desmodus_rotundus,-57.63,-25.2805,1973,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-57.63,-25.2805,TRUE,TRUE
23,desmodus_rotundus,-66.58333,8.66667,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-66.58333,8.66667,TRUE,TRUE
24,desmodus_rotundus,-43.91667,-21.55,1993,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-43.91667,-21.55,TRUE,TRUE
26,desmodus_rotundus,-48.75,-22.16667,1993,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-48.75,-22.16667,TRUE,TRUE
28,desmodus_rotundus,-59,-23.36667,1973,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-59,-23.36667,TRUE,TRUE
31,desmodus_rotundus,-78.173330000000007,-4.44167,1977,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-78.173330000000007,-4.44167,TRUE,TRUE
32,desmodus_rotundus,-69.07289,-12.6,1979,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-69.07289,-12.6,TRUE,TRUE
34,desmodus_rotundus,-73.04844,-12.64814,1984,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-73.04844,-12.64814,TRUE,TRUE
37,desmodus_rotundus,-71.16667,8.5,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.16667,8.5,TRUE,TRUE
39,desmodus_rotundus,-71.9186111111111,7.2775,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-71.9186111111111,7.2775,TRUE,TRUE
42,desmodus_rotundus,-67.1333333333333,7.7,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-67.1333333333333,7.7,TRUE,TRUE
43,desmodus_rotundus,-65.6,4.075,NA,specieslink,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-65.6,4.075,TRUE,TRUE
45,desmodus_rotundus,-79.3647,-0.5864,1979,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-79.3647,-0.5864,TRUE,TRUE
51,desmodus_rotundus,-54.759722222222,-18.506944444444,1975,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-54.759722222222,-18.506944444444,TRUE,TRUE
57,desmodus_rotundus,-42.699166666667,-9.0155555555556,1986,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-42.699166666667,-9.0155555555556,TRUE,TRUE
61,desmodus_rotundus,-40.750283,-19.785317,2007,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.750283,-19.785317,TRUE,TRUE
68,desmodus_rotundus,-40.812139,-20.257889,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-40.812139,-20.257889,TRUE,TRUE
100,desmodus_rotundus,-48.3653,-24.0992,1999,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-48.3653,-24.0992,TRUE,TRUE
102,desmodus_rotundus,-50.4136,-24.5094,2009,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-50.4136,-24.5094,TRUE,TRUE
104,desmodus_rotundus,-54.6356,-16.4708,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-54.6356,-16.4708,TRUE,TRUE
106,desmodus_rotundus,-51.9906,-26.4842,2005,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-51.9906,-26.4842,TRUE,TRUE
108,desmodus_rotundus,-47.0905990600586,-16.0296993255615,NA,specieslink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-47.0905990600586,-16.0296993255615,TRUE,TRUE
